,PRICE,SOLD_MONTH_Number,SOLD_DATE_DAY,SOLD_YEAR,PROPERTY_TYPE,BEDS,BATHS,SQUARE_FEET,LOT_SIZE,YEAR_BUILT,LOCATION
134089,1354375,6,28,2018,1,5.0,3.0,2900.0,6000.0,1911.0,19
134090,763200,6,1,2020,1,3.0,1.5,1550.0,6400.0,1951.0,19
134091,1300000,1,17,2020,1,5.0,3.0,2340.0,5200.0,1948.0,19
134092,1425000,12,31,2019,1,4.0,4.0,2590.0,5100.0,1920.0,19
134093,750000,3,24,2020,2,3.1275665851706007,2.315704532026172,2589.0644155844157,83641.0,1984.2786715101195,19
134094,1095000,7,27,2020,1,4.0,2.0,2340.0,6000.0,1953.0,19
134095,1135000,10,8,2020,1,2.0,2.0,2090.0,7000.0,1941.0,19
134096,499999,12,4,2020,3,1.0,1.5,710.0,692.0,2020.0,19
134097,450000,6,24,2020,0,2.0,1.0,931.0,27390.125019392875,1968.0,19
134098,730000,8,24,2020,3,2.0,1.5,1170.0,860.0,2020.0,19
134099,2200000,5,8,2019,1,5.0,4.0,3900.0,5000.0,2019.0,19
134100,1360000,5,31,2018,1,4.0,3.0,2960.0,5844.0,1941.0,19
134101,868000,12,1,2017,1,3.0,2.0,2480.0,6000.0,1958.0,19
134103,499000,10,21,2020,1,1.0,1.0,790.0,3000.0,1953.0,19
134104,460000,11,20,2020,0,2.0,2.0,979.0,9700.0,1977.0,19
134105,620000,4,23,2020,1,4.0,3.0,2600.0,5500.0,1910.0,19
134106,295000,12,16,2019,0,1.0,1.0,750.0,27390.125019392875,1974.0,19
134107,1175000,11,8,2019,1,4.0,2.0,2660.0,6960.0,1949.0,19
134108,1870000,11,26,2019,1,5.0,4.5,3690.0,8960.0,2014.0,19
134109,1040000,12,5,2019,1,5.0,2.0,2600.0,6400.0,1955.0,19
134110,786500,10,31,2019,1,3.0,2.0,1780.0,7000.0,1941.0,19
134111,871000,8,14,2019,1,4.0,2.5,2220.0,2900.0,1999.0,19
134112,899950,10,21,2020,3,3.0,2.5,1714.0,1288.0,2020.0,19
134113,640000,7,24,2020,3,3.0,3.5,1220.0,965.0,2008.0,19
134114,1595000,10,14,2020,1,4.0,2.5,2860.0,5000.0,1987.0,19
134115,458000,9,11,2020,0,2.0,2.0,904.0,27390.125019392875,2007.0,19
134116,950500,12,7,2020,1,3.0,3.0,2300.0,4800.0,1924.0,19
134117,780000,8,28,2020,3,3.0,1.5,1408.0,795.0,2020.0,19
134118,1700000,11,1,2017,1,2.0,2.5,3253.0,7093.0,1997.0,19
134119,290000,6,21,2022,0,0.0,1.0,476.0,27390.125019392875,1960.0,19
134120,561500,8,16,2019,1,4.0,1.5,1780.0,2591.0,1943.0,19
134121,1150000,8,4,2022,1,3.0,2.0,1790.0,5600.0,1937.0,19
134122,1130000,8,17,2022,1,4.0,1.5,3100.0,6375.0,1925.0,19
134123,506217,6,7,2022,0,2.0,1.0,911.0,27390.125019392875,1970.0,19
134124,849950,8,31,2022,3,2.0,2.0,1395.0,1102.0,2022.0,19
134125,787950,9,15,2022,3,2.0,2.0,1223.0,780.0,2022.0,19
134126,890000,8,25,2022,1,2.0,2.0,1521.0,4800.0,1925.0,19
134127,1995000,9,6,2022,1,4.0,3.0,3300.0,7700.0,1948.0,19
134128,315000,5,17,2021,0,1.0,1.0,712.0,22700.0,1969.0,19
134129,1349000,6,15,2022,1,3.0,3.0,2250.0,4800.0,1961.0,19
134130,710000,10,20,2021,3,2.0,2.0,1214.0,1077.0,2021.0,19
134131,735000,8,8,2019,1,3.0,2.0,1690.0,2175.0,2016.0,19
134132,1025000,7,22,2022,3,4.0,2.0,1690.0,1269.0,2016.0,19
134133,1735000,9,28,2022,1,5.0,4.0,3510.0,5400.0,2008.0,19
134134,310000,10,3,2022,0,1.0,1.0,560.0,27390.125019392875,1988.0,19
134135,900000,7,19,2022,1,2.0,1.0,1070.0,5200.0,1927.0,19
134136,1075000,6,15,2018,1,4.0,2.0,2660.0,7500.0,1919.0,19
134137,2650000,5,31,2022,1,5.0,3.0,3090.0,6152.0,1951.0,19
134138,1435000,7,12,2022,1,3.0,2.0,2460.0,5381.0,1954.0,19
134139,1215000,7,6,2022,1,3.0,1.5,1570.0,6000.0,1941.0,19
134140,2450000,8,22,2022,1,5.0,4.0,3388.0,3965.0,2022.0,19
134141,3090000,6,1,2022,1,4.0,3.0,3750.0,4987.0,2001.0,19
134142,1207000,7,14,2022,1,4.0,2.0,1643.0,6784.0,1942.0,19
134143,1810000,6,10,2022,1,3.0,2.0,2660.0,5600.0,1941.0,19
134144,355000,4,22,2022,0,1.0,1.0,484.0,27390.125019392875,1988.0,19
134145,470000,9,8,2022,0,2.0,2.0,979.0,13900.0,1976.0,19
134146,1665500,9,14,2022,1,4.0,2.0,3040.0,5272.0,1941.0,19
134147,6200000,8,25,2022,1,4.0,4.0,5980.0,5000.0,2018.0,19
134148,925000,6,30,2020,1,3.0,2.0,1780.0,6912.0,1942.0,19
134150,1200000,10,11,2018,1,4.0,2.315704532026172,2430.0,4000.0,2004.0,19
134151,2350000,9,19,2022,1,4.0,3.5,4420.0,4188.0,2018.0,19
134152,1768500,5,31,2022,1,4.0,3.5,2720.0,5857.0,1918.0,19
134153,1400000,6,7,2022,1,4.0,2.0,1950.0,6000.0,1948.0,19
134154,930000,6,3,2022,1,2.0,1.0,940.0,6122.0,1948.0,19
134155,990000,8,11,2022,1,2.0,2.0,1820.0,6224.0,1945.0,19
134156,699000,9,14,2022,3,3.0,2.0,1550.0,795.0,2007.0,19
134157,1040000,6,1,2022,3,3.0,2.0,1580.0,1138.0,2015.0,19
134158,1595100,6,20,2022,1,3.0,2.0,2520.0,23160.0,1946.0,19
134159,2000000,10,6,2022,1,4.0,3.5,3500.0,5350.0,1937.0,19
134160,1950000,10,12,2022,1,4.0,3.0,3800.0,5175.0,1978.0,19
134161,787950,10,19,2022,3,2.0,2.0,1217.0,1331.0,2022.0,19
134162,1150000,10,21,2022,1,4.0,2.0,2140.0,6250.0,1940.0,19
134163,2334500,10,18,2022,1,4.0,3.5,2970.0,5323.0,1930.0,19
134164,1480000,10,24,2022,3,4.0,3.5,2410.0,1956.0,2022.0,19
134165,850000,10,26,2022,3,2.0,2.0,1400.0,802.0,2020.0,19
